index,Output,Input
331,"They're the writers of their own press releases, Morty! They're a bunch of drama queens that spend an hour talking and twenty minutes jumping around while shit blows up. They're a phase. We did one, it was the big event of that summer. Let it die.","Rick, the Vindicators only call when the universe itself is at stake! They're first line of defense against evil! They're the guardians of the unguarded! I refuse to answer a literal call to adventure, Morty. Let it go to voicemail! Oh, Rick! I-Is that the Vindibeacon? We're being called to assemble by the Vindicators! Great. Next time I need a species sterilized, who's gonna do it for me? You? Then why aren't we killing them?! Don't let any of those things get away, Morty. If their DNA gets into Earth's food chain, our entire species could be sterilized. "
332,God... fuckin' dammit!  Fine! But don't say I didn't warn you.,"I, Morty Smith, invoke my right to choose one in every ten Rick and Morty adventures.  Read 'em and weep. They're the writers of their own press releases, Morty! They're a bunch of drama queens that spend an hour talking and twenty minutes jumping around while shit blows up. They're a phase. We did one, it was the big event of that summer. Let it die. Rick, the Vindicators only call when the universe itself is at stake! They're first line of defense against evil! They're the guardians of the unguarded! I refuse to answer a literal call to adventure, Morty. Let it go to voicemail! Oh, Rick! I-Is that the Vindibeacon? We're being called to assemble by the Vindicators! Great. Next time I need a species sterilized, who's gonna do it for me? You? "
333,"Whoops! Uh, Morty, you might want to freeze some sperm.","Yes!  Vindicator command ship, beacon received! We're doing Vindicators Twoooooooooo! God... fuckin' dammit!  Fine! But don't say I didn't warn you. I, Morty Smith, invoke my right to choose one in every ten Rick and Morty adventures.  Read 'em and weep. They're the writers of their own press releases, Morty! They're a bunch of drama queens that spend an hour talking and twenty minutes jumping around while shit blows up. They're a phase. We did one, it was the big event of that summer. Let it die. Rick, the Vindicators only call when the universe itself is at stake! They're first line of defense against evil! They're the guardians of the unguarded! I refuse to answer a literal call to adventure, Morty. Let it go to voicemail! "
334,My balls.,"..and this time, he's out to end more than worlds. We have reason to believe his stronghold is located on... Vindicators, Worldender is back... Whoops! Uh, Morty, you might want to freeze some sperm. Yes!  Vindicator command ship, beacon received! We're doing Vindicators Twoooooooooo! God... fuckin' dammit!  Fine! But don't say I didn't warn you. I, Morty Smith, invoke my right to choose one in every ten Rick and Morty adventures.  Read 'em and weep. "
335,"Oh, that's Million Ants. I can't see the ants over here. It just assumed that was, uh, Turd Man. Wiggly Turd Man.","...the Terraneus system. Once in range, Million Ants will scan for pheromone activity, which should lead us to the location of the base. Rick! My balls. ..and this time, he's out to end more than worlds. We have reason to believe his stronghold is located on... Vindicators, Worldender is back... Whoops! Uh, Morty, you might want to freeze some sperm. "
336,"Uh, yeah, just a few more design notes.  Um, this guy. The, uh... The, uh...","Rick, you have something to add to the briefing? Rick, stop! Oh, that's Million Ants. I can't see the ants over here. It just assumed that was, uh, Turd Man. Wiggly Turd Man. ...the Terraneus system. Once in range, Million Ants will scan for pheromone activity, which should lead us to the location of the base. Rick! My balls. "
337,"Right, Crocubot. So, you're half-cold, unfeeling reptile, half-also cold, equally-unfeeling machine.","Uh, yeah, just a few more design notes.  Um, this guy. The, uh... The, uh... Rick, you have something to add to the briefing? Rick, stop! Oh, that's Million Ants. I can't see the ants over here. It just assumed that was, uh, Turd Man. Wiggly Turd Man. ...the Terraneus system. Once in range, Million Ants will scan for pheromone activity, which should lead us to the location of the base. Rick! "
338,"So, you're origin is what? Y-You fell into a vat of redundancy?","Right, Crocubot. So, you're half-cold, unfeeling reptile, half-also cold, equally-unfeeling machine. Uh, yeah, just a few more design notes.  Um, this guy. The, uh... The, uh... Rick, you have something to add to the briefing? Rick, stop! Oh, that's Million Ants. I can't see the ants over here. It just assumed that was, uh, Turd Man. Wiggly Turd Man. ...the Terraneus system. Once in range, Million Ants will scan for pheromone activity, which should lead us to the location of the base. "
339,"Well, let me check my list of powers and weaknesses. Ability to do anything... But only whenever I want... Yeah, that sounds like a job for me.","Noob-Noob, we're having a briefing!  If I can continue, Rick. I anticipate sophisticated security measures. I trust you can be of service there. So, you're origin is what? Y-You fell into a vat of redundancy? Right, Crocubot. So, you're half-cold, unfeeling reptile, half-also cold, equally-unfeeling machine. Uh, yeah, just a few more design notes.  Um, this guy. The, uh... The, uh... Rick, you have something to add to the briefing? Rick, stop! "
340,"Alan Rails, ladies and gentleman. After his parents' tragic death in a railroad accident, he gained the power to summon ghiost trains. It's not all bad, though. They were spared having to see their grown son wear a whistle!","I wish he had the ability to check is attitude. Well, let me check my list of powers and weaknesses. Ability to do anything... But only whenever I want... Yeah, that sounds like a job for me. Noob-Noob, we're having a briefing!  If I can continue, Rick. I anticipate sophisticated security measures. I trust you can be of service there. So, you're origin is what? Y-You fell into a vat of redundancy? Right, Crocubot. So, you're half-cold, unfeeling reptile, half-also cold, equally-unfeeling machine. Uh, yeah, just a few more design notes.  Um, this guy. The, uh... The, uh... "
341,"Thanks, Noob-Noob! This guy gets it.","Alan Rails, ladies and gentleman. After his parents' tragic death in a railroad accident, he gained the power to summon ghiost trains. It's not all bad, though. They were spared having to see their grown son wear a whistle! I wish he had the ability to check is attitude. Well, let me check my list of powers and weaknesses. Ability to do anything... But only whenever I want... Yeah, that sounds like a job for me. Noob-Noob, we're having a briefing!  If I can continue, Rick. I anticipate sophisticated security measures. I trust you can be of service there. So, you're origin is what? Y-You fell into a vat of redundancy? Right, Crocubot. So, you're half-cold, unfeeling reptile, half-also cold, equally-unfeeling machine. "
342,"Uh, I was also late because of my drinking and metioned it to zero applause.","Happy hour. Sorry I'm late. It was happy hour. Vance Maximus, Renegade Star Soldier! Thanks, Noob-Noob! This guy gets it. Alan Rails, ladies and gentleman. After his parents' tragic death in a railroad accident, he gained the power to summon ghiost trains. It's not all bad, though. They were spared having to see their grown son wear a whistle! I wish he had the ability to check is attitude. "
343,Did he say he never forgets a kid?,"Did he say ""three for three""? I never forget a kid.  What do you say, Vindicators? Let's make this three for three? Whoa, yeah! Rick Sanchez, Tinkerer of Terror. Man, that's hard to say. And... Morty, right? Uh, I was also late because of my drinking and metioned it to zero applause. Happy hour. "
344,"I guess he found his crowd. Pretty toothless stuff, guys.","Are you sure there's not just a picnic nearby. I sense... insecurity. So, this is... Vindicators 3? And you guys did Vindicators 2... w-without us? Actually, we assembled a second time last summer to fight Doomnomitron. You mean ""two for two"", right, Vance? Did he say he never forgets a kid? "
345,"I hope you're happy with the adventure so far, Morty. These guys are even lamer than last time.","I guess he found his crowd. Pretty toothless stuff, guys. Are you sure there's not just a picnic nearby. I sense... insecurity. So, this is... Vindicators 3? And you guys did Vindicators 2... w-without us? Actually, we assembled a second time last summer to fight Doomnomitron. You mean ""two for two"", right, Vance? "
346,"Yikes. Yeah, things did feel less diverse in there.","We weren't here ""last time"", remember? They did a whole Vindicators without us. A bunch of them got killed, too. They lost Lady Katana, Calypso, Diablo Verde... I hope you're happy with the adventure so far, Morty. These guys are even lamer than last time. I guess he found his crowd. Pretty toothless stuff, guys. Are you sure there's not just a picnic nearby. I sense... insecurity. So, this is... Vindicators 3? And you guys did Vindicators 2... w-without us? "
347,"Don't worry, Morty, they love you. Superheroes need a wide-eyed unremarkable to tag along and react to everything like it's mind-blowing.","This article says the reason we weren't involved was... ""personality conflicts"". Yikes. Yeah, things did feel less diverse in there. We weren't here ""last time"", remember? They did a whole Vindicators without us. A bunch of them got killed, too. They lost Lady Katana, Calypso, Diablo Verde... I hope you're happy with the adventure so far, Morty. These guys are even lamer than last time. I guess he found his crowd. Pretty toothless stuff, guys. Are you sure there's not just a picnic nearby. "
348,"Jesus... How awesome is that? I mean, they wanted to not need me so bad, they murdered three innocent heroes of color, and they still had to bring me back?","I... think the personality conflict might have been... you. Don't worry, Morty, they love you. Superheroes need a wide-eyed unremarkable to tag along and react to everything like it's mind-blowing. This article says the reason we weren't involved was... ""personality conflicts"". Yikes. Yeah, things did feel less diverse in there. We weren't here ""last time"", remember? They did a whole Vindicators without us. A bunch of them got killed, too. They lost Lady Katana, Calypso, Diablo Verde... I hope you're happy with the adventure so far, Morty. These guys are even lamer than last time. "
349,"Uh, the adventure is the favor, Morty. Me sleeping on these linens is the favor. I mean, w-w-w-what--what are we vindicating? Comfort?","Rick, since it's my adventure and all, could you do me a favor? Jesus... How awesome is that? I mean, they wanted to not need me so bad, they murdered three innocent heroes of color, and they still had to bring me back? I... think the personality conflict might have been... you. Don't worry, Morty, they love you. Superheroes need a wide-eyed unremarkable to tag along and react to everything like it's mind-blowing. This article says the reason we weren't involved was... ""personality conflicts"". Yikes. Yeah, things did feel less diverse in there. "
350,"Why? Morty,  I defeat gagoos more powerful than these guys every week.","Rick, this really bums me out. It-It's embarrassing to find out these guys don't like us. Uh, the adventure is the favor, Morty. Me sleeping on these linens is the favor. I mean, w-w-w-what--what are we vindicating? Comfort? Rick, since it's my adventure and all, could you do me a favor? Jesus... How awesome is that? I mean, they wanted to not need me so bad, they murdered three innocent heroes of color, and they still had to bring me back? I... think the personality conflict might have been... you. Don't worry, Morty, they love you. Superheroes need a wide-eyed unremarkable to tag along and react to everything like it's mind-blowing. "
351,"Oh, please. They just call themselves heroes so they can...","Yeah, but not heroes. Why? Morty,  I defeat gagoos more powerful than these guys every week. Rick, this really bums me out. It-It's embarrassing to find out these guys don't like us. Uh, the adventure is the favor, Morty. Me sleeping on these linens is the favor. I mean, w-w-w-what--what are we vindicating? Comfort? Rick, since it's my adventure and all, could you do me a favor? Jesus... How awesome is that? I mean, they wanted to not need me so bad, they murdered three innocent heroes of color, and they still had to bring me back? "
352,Huh... no accounting for taste. I'm gonna go get a drink.,"I'm calling them that, Rick! They're my heroes! Mine! Oh, please. They just call themselves heroes so they can... Yeah, but not heroes. Why? Morty,  I defeat gagoos more powerful than these guys every week. Rick, this really bums me out. It-It's embarrassing to find out these guys don't like us. Uh, the adventure is the favor, Morty. Me sleeping on these linens is the favor. I mean, w-w-w-what--what are we vindicating? Comfort? "
353,"Ugh! Oh, Christ...","Someone wake up Sanchez. Yes. I only lost 400 ants. My queen is laying more.  I am back to one million ants. Are you all right? Aah!  Gun turret. All aboard! Star Mother, grant me your wrath! "
354,Barely.,"Rick, you're up. Ugh! Oh, Christ... Someone wake up Sanchez. Yes. I only lost 400 ants. My queen is laying more.  I am back to one million ants. Are you all right? Aah!  Gun turret. "
355,Uh-huh.,"Rick, we're taking fire from an automated turret. Can you bring it offline? Barely. Rick, you're up. Ugh! Oh, Christ... Someone wake up Sanchez. Yes. I only lost 400 ants. My queen is laying more.  I am back to one million ants. "
356,"Uh, my God, that's better.","Uh-huh. Rick, we're taking fire from an automated turret. Can you bring it offline? Barely. Rick, you're up. Ugh! Oh, Christ... Someone wake up Sanchez. "
357,"Hey, I can't help if I can't see.","RICK! Uh, my God, that's better. Uh-huh. Rick, we're taking fire from an automated turret. Can you bring it offline? Barely. Rick, you're up. "
358,"Really? You don't say. You would have used a ghost train?  Hey, everybody, the ghost train guy would have used a ghost train!","I could've just used a ghost train. Hey, I can't help if I can't see. RICK! Uh, my God, that's better. Uh-huh. Rick, we're taking fire from an automated turret. Can you bring it offline? "
359,"Is there coffee? Hey, Morty, can you be a pal? Grandpa left his coffee maker on the ship. Y-You know, the French press thing?","Man, fuck you. Really? You don't say. You would have used a ghost train?  Hey, everybody, the ghost train guy would have used a ghost train! I could've just used a ghost train. Hey, I can't help if I can't see. RICK! Uh, my God, that's better. "
360,"Little extra  snippy this morning, aren't you?","Get it yourself. Is there coffee? Hey, Morty, can you be a pal? Grandpa left his coffee maker on the ship. Y-You know, the French press thing? Man, fuck you. Really? You don't say. You would have used a ghost train?  Hey, everybody, the ghost train guy would have used a ghost train! I could've just used a ghost train. Hey, I can't help if I can't see. "
361,"Oh, oh, oh, I'm sorry. Oh, you're right. Ooh, real serious. Gotta take it real serious, huh?","Just focus on the mission, all right? Little extra  snippy this morning, aren't you? Get it yourself. Is there coffee? Hey, Morty, can you be a pal? Grandpa left his coffee maker on the ship. Y-You know, the French press thing? Man, fuck you. Really? You don't say. You would have used a ghost train?  Hey, everybody, the ghost train guy would have used a ghost train! "
362,"Ooh, real scared. Real fucking on alert, high alwrt over here.","Well, he is the Worldender. The guy ends worlds. Kind of his thing. Son of a steam engine! They're all dead! Oh, oh, oh, I'm sorry. Oh, you're right. Ooh, real serious. Gotta take it real serious, huh? Just focus on the mission, all right? Little extra  snippy this morning, aren't you? Get it yourself. "
363,"Million Ants, ladies and gentleman! The ant colony with the power of two human eyes!","I sense his life force is fading. It's Worldender! What happened to him? What the FUCK?! Ooh, real scared. Real fucking on alert, high alwrt over here. Well, he is the Worldender. The guy ends worlds. Kind of his thing. Son of a steam engine! They're all dead! "
364,"All right. Short mission, good mission. Remember when Alan wanted to use a ghost train? See you guys in Vindicators 4. Morty?","Million Ants, ladies and gentleman! The ant colony with the power of two human eyes! I sense his life force is fading. It's Worldender! What happened to him? What the FUCK?! Ooh, real scared. Real fucking on alert, high alwrt over here. Well, he is the Worldender. The guy ends worlds. Kind of his thing. "
365,"Well, have fun with that. But Morty and I have to meet a comet girl, a monorail man, two assholes and a full alligator in, like, an hour.","He's right. This is far from over. Rick, whoever did this is an even bigger threat than Worldender! We can't leave now! All right. Short mission, good mission. Remember when Alan wanted to use a ghost train? See you guys in Vindicators 4. Morty? Million Ants, ladies and gentleman! The ant colony with the power of two human eyes! I sense his life force is fading. It's Worldender! What happened to him? "
366,Shit.,"Well, have fun with that. But Morty and I have to meet a comet girl, a monorail man, two assholes and a full alligator in, like, an hour. He's right. This is far from over. Rick, whoever did this is an even bigger threat than Worldender! We can't leave now! All right. Short mission, good mission. Remember when Alan wanted to use a ghost train? See you guys in Vindicators 4. Morty? Million Ants, ladies and gentleman! The ant colony with the power of two human eyes! I sense his life force is fading. "
367,"Welp, it's official. I had too much to drink last night.","Check, check, One, two. Okay, is it recording? Good. Hello, Vindicators. Welcome to your reckoning, babyyyyyyyy!! I sense the presence of a greater evil. Shit. Well, have fun with that. But Morty and I have to meet a comet girl, a monorail man, two assholes and a full alligator in, like, an hour. He's right. This is far from over. Rick, whoever did this is an even bigger threat than Worldender! We can't leave now! "
368,"Obviously, I came here last night during a blackout.","Rick? What's going on, buddy? If you guys are watching this, you're, you know, the Vindicators. So now that we know... Welp, it's official. I had too much to drink last night. Check, check, One, two. Okay, is it recording? Good. Hello, Vindicators. Welcome to your reckoning, babyyyyyyyy!! I sense the presence of a greater evil. Shit. "
369,"Look, I'm a lit-- little more complex than you guys and, no offense, but I've always suspected that a lot of what you do in a year could be knocked out in a couple of hours.","Obviously? You came here and defeated our arch-nemesis while so drunk, you don't remember doing it? That's something obvious to you? Obviously, I came here last night during a blackout. Rick? What's going on, buddy? If you guys are watching this, you're, you know, the Vindicators. So now that we know... Welp, it's official. I had too much to drink last night. Check, check, One, two. Okay, is it recording? Good. Hello, Vindicators. Welcome to your reckoning, babyyyyyyyy!! "
370,"Morty I'm a drunk, not a hack.","Rick, is-is this a ""Saw"" thing? Are you seriously ""Saw""-ing the Vindicators? ...So I thought, why not just do your job for you so we can have a little fun game. Look, I'm a lit-- little more complex than you guys and, no offense, but I've always suspected that a lot of what you do in a year could be knocked out in a couple of hours. Obviously? You came here and defeated our arch-nemesis while so drunk, you don't remember doing it? That's something obvious to you? Obviously, I came here last night during a blackout. Rick? What's going on, buddy? "
371,"Well, I-I-I think we've seen enough. I'll just figure out how to unplug this.","If you break the rules, lose the game or try to leave, you will die. Like in  ""Sawwww"". Morty I'm a drunk, not a hack. Rick, is-is this a ""Saw"" thing? Are you seriously ""Saw""-ing the Vindicators? ...So I thought, why not just do your job for you so we can have a little fun game. Look, I'm a lit-- little more complex than you guys and, no offense, but I've always suspected that a lot of what you do in a year could be knocked out in a couple of hours. Obviously? You came here and defeated our arch-nemesis while so drunk, you don't remember doing it? That's something obvious to you? "
372,"Whoa, whoa, whoa. Hold on, Vance. He said you'd die if you tried to leave. That means there's booby traps.","Screw this. I'm not playing his game. I'm gonna find us a way out of here. Okay, here we go, room number one. The Vindicators are known throughout the galaxy, but do they know yourselves? Do you know yourselves? Match your... your shit, your... your gimmicks with your faces and y-you get it, it's a matching thing. And do it in three minutes, or you'll  all die. Well, I-I-I think we've seen enough. I'll just figure out how to unplug this. If you break the rules, lose the game or try to leave, you will die. Like in  ""Sawwww"". Morty I'm a drunk, not a hack. Rick, is-is this a ""Saw"" thing? Are you seriously ""Saw""-ing the Vindicators? "
373,"What part of ""blackout"" don't you understand? I thought you drank?","Why are you acting like that's not you?! Whoa, whoa, whoa. Hold on, Vance. He said you'd die if you tried to leave. That means there's booby traps. Screw this. I'm not playing his game. I'm gonna find us a way out of here. Okay, here we go, room number one. The Vindicators are known throughout the galaxy, but do they know yourselves? Do you know yourselves? Match your... your shit, your... your gimmicks with your faces and y-you get it, it's a matching thing. And do it in three minutes, or you'll  all die. Well, I-I-I think we've seen enough. I'll just figure out how to unplug this. If you break the rules, lose the game or try to leave, you will die. Like in  ""Sawwww"". "
374,Because my epidermis is laced with a nanofiber defense mesh.,"Give me one good reason why I shouldn't crush your windpipe! Okay, this... this is triggering me. I need space. I-I need SPACE! FROM THIS! Okay, ouch, but... Oh, so you're the leader now because we gave you a jacket?! You're the learning-disabled kid we do photo-ops with! Vance, stay calm... Like cool drinking! Like sexy drinking, not this psycho trailer-park shit! "
375,"And because, like I said, I don't remember last night.","Because my epidermis is laced with a nanofiber defense mesh. Give me one good reason why I shouldn't crush your windpipe! Okay, this... this is triggering me. I need space. I-I need SPACE! FROM THIS! Okay, ouch, but... Oh, so you're the leader now because we gave you a jacket?! You're the learning-disabled kid we do photo-ops with! Vance, stay calm... "
376,"Alan, I'm not proud of what's happening here, but if you keep coming at me, there's gonna be another passenger on that ghost train.","I told you not to invite this mummified motherfucker back! And because, like I said, I don't remember last night. Because my epidermis is laced with a nanofiber defense mesh. Give me one good reason why I shouldn't crush your windpipe! Okay, this... this is triggering me. I need space. I-I need SPACE! FROM THIS! Okay, ouch, but... "
377,"Uh, I kind of am. I saved the goddamn universe.","The two of us?!  I hope you're proud of yourself! Let's just get through this as quickly as possible. Then, we'll deal with the two of you. It was a bit. All of the descriptors apply to all of you. Drunk Rick's point is that none of you are very special or different.  That's always his point. Congrats! You did it-- it! Guys!  I've figured it out. Alan, I'm not proud of what's happening here, but if you keep coming at me, there's gonna be another passenger on that ghost train. "
378,"Ahh, it would've been if I hadn't.","That's not the issue, Rick! Uh, I kind of am. I saved the goddamn universe. The two of us?!  I hope you're proud of yourself! Let's just get through this as quickly as possible. Then, we'll deal with the two of you. It was a bit. All of the descriptors apply to all of you. Drunk Rick's point is that none of you are very special or different.  That's always his point. Congrats! You did it-- it! "
379,"Huh, I'm seeing more croc than bot here.","Crocubot, don't! The Vindicators say their job is is to fight evil wherever it hides, but they don't... pick the location you'll... you'll never even hear them mention, because to fight darkness is to fight yourself. Ahh, it would've been if I hadn't. That's not the issue, Rick! Uh, I kind of am. I saved the goddamn universe. The two of us?!  I hope you're proud of yourself! "
380,"You know,  I could have made a device to detect Doomnomitron from orbit like  that.","Oh, o-okay. This again? Doomnomitron was hiding here! He's a shapeshifter! Destroying Dorian 5 was the only way to kill him! W-Wait, huh? Nothing?! We exterminated a planet! Nothing! Uh, what happened on Dorian 5? "
381,"W-What? In w--In w-w-what--In what way? Like, w-w-what's my point?","I-It's just something Rick starts talking about whenever he's blackout drunk. What the hell is Is-ra-el? Congrats, you did it! Do not threaten her! If you lay those deaths at my doorstep one more time... I'm not the one that didn't want you back. Alan was! "
382,"So, to be clear, I sometimes reference the geopolitical complexities of the topic, which is not the same as going to an anti-Semitic place.","In a way that has no point! You just babble about defense budgets and the United Nations, and then you pass out! W-What? In w--In w-w-what--In what way? Like, w-w-what's my point? I-It's just something Rick starts talking about whenever he's blackout drunk. What the hell is Is-ra-el? Congrats, you did it! Do not threaten her! "
383,"I don't either. I-I'm just saying, if anything, the drunk version of me is probably so supportive of Israel, he wants what's best for it and...","I have no stake in this. So, to be clear, I sometimes reference the geopolitical complexities of the topic, which is not the same as going to an anti-Semitic place. In a way that has no point! You just babble about defense budgets and the United Nations, and then you pass out! W-What? In w--In w-w-what--In what way? Like, w-w-what's my point? I-It's just something Rick starts talking about whenever he's blackout drunk. What the hell is Is-ra-el? "
384,"Morty, how many of these...?","You guys hit the baskets. I'll disarm the drunkenly-improvised neutrino bomb. There's a 40% chance it's a dud, but y-you should still stay back. let's say... you have to hit... five three-pointers in... five minutes or, I don't know, the whole place--the whole planet will get blown up with a n-neutrino bomb. And try to make it a-a lesson about yourselves like, like how... selfish you a-are, or something. Also, Hawaii. Aloha... means hello and goodbye in Hawaii. But, uh, aloha means... has nothing to do with this room.  I'm so fucking drunk. Ugh, okay, here's the deal. I-I want to rest my eyes for a little bit. I'm--I'm not going to sleep. I just... just need to rest my eye, so let's make this one simple. Just try to hit some three-pointers. Hey, man, I'm not touching this. You do you. I don't either. I-I'm just saying, if anything, the drunk version of me is probably so supportive of Israel, he wants what's best for it and... I have no stake in this. "
385,"Man, I am really getting high-roaded today.","Too many, Rick! Too many! Morty, how many of these...? You guys hit the baskets. I'll disarm the drunkenly-improvised neutrino bomb. There's a 40% chance it's a dud, but y-you should still stay back. let's say... you have to hit... five three-pointers in... five minutes or, I don't know, the whole place--the whole planet will get blown up with a n-neutrino bomb. And try to make it a-a lesson about yourselves like, like how... selfish you a-are, or something. Also, Hawaii. Aloha... means hello and goodbye in Hawaii. But, uh, aloha means... has nothing to do with this room.  I'm so fucking drunk. Ugh, okay, here's the deal. I-I want to rest my eyes for a little bit. I'm--I'm not going to sleep. I just... just need to rest my eye, so let's make this one simple. Just try to hit some three-pointers. Hey, man, I'm not touching this. You do you. "
386,Where the fuck is the lead wire?!,"That's a three-pointer! Sure, but were we married when you two were ""stranded"" on Delphi 6 for three days? Because I sensed something was weird when you can back. But what do I know about sensitivity? I'm just a phantom train conductor. You're the pile of ordinary bugs that fucked my wife! We aren't married anymore, Alan. I mean, really unspoken. Like, ""let's-not-tell-my-husband"" unspoken. But you guys have always had a... an unspoken bond. That's a three-pointer! "
387,"Jesus Christ, what a shitty neutrino bomb. it's a miracle I actually every destroy anything.","You always put it in the weirdest place! Um, uh, over here, maybe? Where the fuck is the lead wire?! That's a three-pointer! Sure, but were we married when you two were ""stranded"" on Delphi 6 for three days? Because I sensed something was weird when you can back. But what do I know about sensitivity? I'm just a phantom train conductor. You're the pile of ordinary bugs that fucked my wife! We aren't married anymore, Alan. I mean, really unspoken. Like, ""let's-not-tell-my-husband"" unspoken. "
388,"Thank you. I appreciate it, Morty. I know you were sucking the Kool-Aid out of the Vindicators' dicks, so the fact that I was right about them must be pretty hard to admit.","Oh, I don't know. You managed to destroy just about everything today; the villains, the heroes, the lines between them, my childhood... Jesus Christ, what a shitty neutrino bomb. it's a miracle I actually every destroy anything. You always put it in the weirdest place! Um, uh, over here, maybe? Where the fuck is the lead wire?! That's a three-pointer! Sure, but were we married when you two were ""stranded"" on Delphi 6 for three days? Because I sensed something was weird when you can back. But what do I know about sensitivity? I'm just a phantom train conductor. You're the pile of ordinary bugs that fucked my wife! "
389,"I know. Everyone wants people they like to be right. That's why popular people are fucking dumb. And why your pretentious, poorly-written, high-budget friends back there can a eat a double-decker shit sandwich.  Disarmed.","Yeah, it is. You know why, Rick? Because when you're an asshole, it doesn't matter how right you are, nobody wants to give you the satisfaction. Thank you. I appreciate it, Morty. I know you were sucking the Kool-Aid out of the Vindicators' dicks, so the fact that I was right about them must be pretty hard to admit. Oh, I don't know. You managed to destroy just about everything today; the villains, the heroes, the lines between them, my childhood... Jesus Christ, what a shitty neutrino bomb. it's a miracle I actually every destroy anything. You always put it in the weirdest place! Um, uh, over here, maybe? Where the fuck is the lead wire?! "
390,Oof! Didn't see that comin'.,"STOP! ALL ABOOOOOOARD, MOTHERFUCKER!!! One million times better! Yeah? I conceived a child with Million Ants and it died inside me because it as HALF A MILLION ANTS AND HALF COLLAPSING STAR! And yes, he was better than you! WHAT?! "
391,"Oh, come on, maybe a couple of them, but definitely not the train guy.","Is that sarcasm?!  I don't want you slipping away then this is over! All of these deaths are on your hands! Oof! Didn't see that comin'. STOP! ALL ABOOOOOOARD, MOTHERFUCKER!!! One million times better! Yeah? "
392,O-kayyy...,"All of them. Oh, come on, maybe a couple of them, but definitely not the train guy. Is that sarcasm?!  I don't want you slipping away then this is over! All of these deaths are on your hands! Oof! Didn't see that comin'. STOP! ALL ABOOOOOOARD, MOTHERFUCKER!!! "
393,I could--It could be Morty.,"Jesus! Okay, open to second opinions! I think... no matter what we put on there, we die. he said it's the part of the Vindicators he values. That means nothing. He wants our last moment alive to be spent knowing how few fucks he gave. So what's the trick? Morty, you're the Drunk Rick expert. All right, buy now, I've been pretty clear that I thunk the Vindicators are  full of shit. But... you do have one thing I'll never have. And that thing is the only part of the Vindicators with any value to me. if you know what it is, place it on the platform.Guess wrong and the pla... planet will explode. And probably the solar system, 'cause I kind of fucking eyeballed the neutrino bombs on this one. Congrats, you did it! O-kayyy... "
394,"Hey, I don't know. I mean, look, when I get drunk, I get stupid and emotional and there's no logic to it. it's, like, possible I got so drunk, I felt like I was losing Morty to the Vindicators, and maybe this is my way of saying ""Okay, you can have him, but only if you know how important he is, otherwise I'll kill you.""","What? I could--It could be Morty. Jesus! Okay, open to second opinions! I think... no matter what we put on there, we die. he said it's the part of the Vindicators he values. That means nothing. He wants our last moment alive to be spent knowing how few fucks he gave. So what's the trick? Morty, you're the Drunk Rick expert. All right, buy now, I've been pretty clear that I thunk the Vindicators are  full of shit. But... you do have one thing I'll never have. And that thing is the only part of the Vindicators with any value to me. if you know what it is, place it on the platform.Guess wrong and the pla... planet will explode. And probably the solar system, 'cause I kind of fucking eyeballed the neutrino bombs on this one. "
395,"Look, I... there's nothing in the room but us. I'm just using logic to connect some dots. It's the best guess I've got.","That is a... really specific guess. Hey, I don't know. I mean, look, when I get drunk, I get stupid and emotional and there's no logic to it. it's, like, possible I got so drunk, I felt like I was losing Morty to the Vindicators, and maybe this is my way of saying ""Okay, you can have him, but only if you know how important he is, otherwise I'll kill you."" What? I could--It could be Morty. Jesus! Okay, open to second opinions! I think... no matter what we put on there, we die. he said it's the part of the Vindicators he values. That means nothing. He wants our last moment alive to be spent knowing how few fucks he gave. "
396,"Well, Morty, I think you're making that smirky face because you're misinterpreting the moment. I am not being coy about some hidden love for you. I want to be really clear that, if anyone has a better guess, like, if I gave you an amulet last night, or...","I'll cover that bet. I get it. But you're betting our lives on it. Look, I... there's nothing in the room but us. I'm just using logic to connect some dots. It's the best guess I've got. That is a... really specific guess. Hey, I don't know. I mean, look, when I get drunk, I get stupid and emotional and there's no logic to it. it's, like, possible I got so drunk, I felt like I was losing Morty to the Vindicators, and maybe this is my way of saying ""Okay, you can have him, but only if you know how important he is, otherwise I'll kill you."" What? "
397,"Oh, shit.","Well, Morty, I think you're making that smirky face because you're misinterpreting the moment. I am not being coy about some hidden love for you. I want to be really clear that, if anyone has a better guess, like, if I gave you an amulet last night, or... I'll cover that bet. I get it. But you're betting our lives on it. Look, I... there's nothing in the room but us. I'm just using logic to connect some dots. It's the best guess I've got. That is a... really specific guess. Hey, I don't know. I mean, look, when I get drunk, I get stupid and emotional and there's no logic to it. it's, like, possible I got so drunk, I felt like I was losing Morty to the Vindicators, and maybe this is my way of saying ""Okay, you can have him, but only if you know how important he is, otherwise I'll kill you."" "
